entry	working_name	status	ghidra_name	source
0040C996	func_0040c996	unidentified	DirectDrawCreate	src/functions/c9/0040c996_func_0040c996.asm
0040C9A0	func_0040c9a0	unidentified	FUN_0040c9a0	src/functions/c9/0040c9a0_func_0040c9a0.asm
0040CA10	func_0040ca10	unidentified	FUN_0040ca10	src/functions/ca/0040ca10_func_0040ca10.asm
0040CD50	func_0040cd50	unidentified	FUN_0040cd50	src/functions/cd/0040cd50_func_0040cd50.asm
0040CDC0	func_0040cdc0	unidentified	FUN_0040cdc0	src/functions/cd/0040cdc0_func_0040cdc0.asm
0040CDE0	func_0040cde0	unidentified	FUN_0040cde0	src/functions/cd/0040cde0_func_0040cde0.asm
0040CE30	func_0040ce30	unidentified	FUN_0040ce30	src/functions/ce/0040ce30_func_0040ce30.asm
0040CE90	func_0040ce90	unidentified	_strncmp	src/functions/ce/0040ce90_func_0040ce90.asm
0040CED0	func_0040ced0	unidentified	FUN_0040ced0	src/functions/ce/0040ced0_func_0040ced0.asm
0040CF10	func_0040cf10	unidentified	FUN_0040cf10	src/functions/cf/0040cf10_func_0040cf10.asm
0040CF80	func_0040cf80	unidentified	FUN_0040cf80	src/functions/cf/0040cf80_func_0040cf80.asm
0040CFC0	func_0040cfc0	unidentified	FUN_0040cfc0	src/functions/cf/0040cfc0_func_0040cfc0.asm
0040D110	func_0040d110	unidentified	FUN_0040d110	src/functions/d1/0040d110_func_0040d110.asm
0040D150	func_0040d150	unidentified	FUN_0040d150	src/functions/d1/0040d150_func_0040d150.asm
0040D170	func_0040d170	unidentified	FUN_0040d170	src/functions/d1/0040d170_func_0040d170.asm
0040D1B0	func_0040d1b0	unidentified	FUN_0040d1b0	src/functions/d1/0040d1b0_func_0040d1b0.asm
0040D2F0	func_0040d2f0	unidentified	FUN_0040d2f0	src/functions/d2/0040d2f0_func_0040d2f0.asm
0040D3C0	func_0040d3c0	unidentified	FUN_0040d3c0	src/functions/d3/0040d3c0_func_0040d3c0.asm
0040D470	func_0040d470	unidentified	_memset	src/functions/d4/0040d470_func_0040d470.asm
0040D4D0	func_0040d4d0	unidentified	_strlen	src/functions/d4/0040d4d0_func_0040d4d0.asm
0040D550	func_0040d550	unidentified	FUN_0040d550	src/functions/d5/0040d550_func_0040d550.asm
0040D5C0	func_0040d5c0	unidentified	FUN_0040d5c0	src/functions/d5/0040d5c0_func_0040d5c0.asm
0040D5F0	func_0040d5f0	unidentified	FUN_0040d5f0	src/functions/d5/0040d5f0_func_0040d5f0.asm
0040D610	func_0040d610	unidentified	__exit	src/functions/d6/0040d610_func_0040d610.asm
0040D650	func_0040d650	unidentified	FUN_0040d650	src/functions/d6/0040d650_func_0040d650.asm
0040D710	func_0040d710	unidentified	FUN_0040d710	src/functions/d7/0040d710_func_0040d710.asm
0040D720	func_0040d720	unidentified	FUN_0040d720	src/functions/d7/0040d720_func_0040d720.asm
0040D730	func_0040d730	unidentified	FUN_0040d730	src/functions/d7/0040d730_func_0040d730.asm
0040D750	func_0040d750	unidentified	FUN_0040d750	src/functions/d7/0040d750_func_0040d750.asm
0040D780	func_0040d780	unidentified	FUN_0040d780	src/functions/d7/0040d780_func_0040d780.asm
0040D790	func_0040d790	unidentified	FUN_0040d790	src/functions/d7/0040d790_func_0040d790.asm
0040D7B0	func_0040d7b0	unidentified	FUN_0040d7b0	src/functions/d7/0040d7b0_func_0040d7b0.asm
0040D7C0	func_0040d7c0	unidentified	FUN_0040d7c0	src/functions/d7/0040d7c0_func_0040d7c0.asm
0040D8A0	strcmp_runtime	verified-role	_strcmp	src/functions/d8/0040d8a0_strcmp_runtime.asm
0040D930	func_0040d930	unidentified	FUN_0040d930	src/functions/d9/0040d930_func_0040d930.asm
0040D950	func_0040d950	unidentified	FUN_0040d950	src/functions/d9/0040d950_func_0040d950.asm
0040D9F0	func_0040d9f0	unidentified	_strrchr	src/functions/d9/0040d9f0_func_0040d9f0.asm
0040DA18	func_0040da18	unidentified	__global_unwind2	src/functions/da/0040da18_func_0040da18.asm
0040DA5A	func_0040da5a	unidentified	__local_unwind2	src/functions/da/0040da5a_func_0040da5a.asm
0040DAEE	func_0040daee	unidentified	FUN_0040daee	src/functions/da/0040daee_func_0040daee.asm
0040DBCD	func_0040dbcd	unidentified	FUN_0040dbcd	src/functions/db/0040dbcd_func_0040dbcd.asm
0040DBF0	pe_entry	verified-role	entry	src/functions/db/0040dbf0_pe_entry.asm
0040DDA0	func_0040dda0	unidentified	__amsg_exit	src/functions/dd/0040dda0_func_0040dda0.asm
0040DDD0	func_0040ddd0	unidentified	FUN_0040ddd0	src/functions/dd/0040ddd0_func_0040ddd0.asm
0040DE50	func_0040de50	unidentified	FUN_0040de50	src/functions/de/0040de50_func_0040de50.asm
0040DF00	func_0040df00	unidentified	FUN_0040df00	src/functions/df/0040df00_func_0040df00.asm
0040DF80	func_0040df80	unidentified	FUN_0040df80	src/functions/df/0040df80_func_0040df80.asm
0040DFA0	func_0040dfa0	unidentified	FUN_0040dfa0	src/functions/df/0040dfa0_func_0040dfa0.asm
0040DFE0	func_0040dfe0	unidentified	FUN_0040dfe0	src/functions/df/0040dfe0_func_0040dfe0.asm
0040E010	func_0040e010	unidentified	FUN_0040e010	src/functions/e0/0040e010_func_0040e010.asm
0040E050	func_0040e050	unidentified	FUN_0040e050	src/functions/e0/0040e050_func_0040e050.asm
0040E0D0	func_0040e0d0	unidentified	FUN_0040e0d0	src/functions/e0/0040e0d0_func_0040e0d0.asm
0040E240	func_0040e240	unidentified	FUN_0040e240	src/functions/e2/0040e240_func_0040e240.asm
0040E2A0	func_0040e2a0	unidentified	FUN_0040e2a0	src/functions/e2/0040e2a0_func_0040e2a0.asm
0040E370	func_0040e370	unidentified	FUN_0040e370	src/functions/e3/0040e370_func_0040e370.asm
0040E3D0	func_0040e3d0	unidentified	FUN_0040e3d0	src/functions/e3/0040e3d0_func_0040e3d0.asm
0040E430	func_0040e430	unidentified	FUN_0040e430	src/functions/e4/0040e430_func_0040e430.asm
0040E670	func_0040e670	unidentified	FUN_0040e670	src/functions/e6/0040e670_func_0040e670.asm
0040E7F0	func_0040e7f0	unidentified	FUN_0040e7f0	src/functions/e7/0040e7f0_func_0040e7f0.asm
0040EA90	func_0040ea90	unidentified	FUN_0040ea90	src/functions/ea/0040ea90_func_0040ea90.asm
0040EBC0	func_0040ebc0	unidentified	FUN_0040ebc0	src/functions/eb/0040ebc0_func_0040ebc0.asm
0040F550	func_0040f550	unidentified	FUN_0040f550	src/functions/f5/0040f550_func_0040f550.asm
0040F5A0	func_0040f5a0	unidentified	FUN_0040f5a0	src/functions/f5/0040f5a0_func_0040f5a0.asm
0040F5E0	func_0040f5e0	unidentified	FUN_0040f5e0	src/functions/f5/0040f5e0_func_0040f5e0.asm
0040F620	func_0040f620	unidentified	FUN_0040f620	src/functions/f6/0040f620_func_0040f620.asm
0040F640	func_0040f640	unidentified	FUN_0040f640	src/functions/f6/0040f640_func_0040f640.asm
0040F660	func_0040f660	unidentified	FUN_0040f660	src/functions/f6/0040f660_func_0040f660.asm
0040F6C0	func_0040f6c0	unidentified	FUN_0040f6c0	src/functions/f6/0040f6c0_func_0040f6c0.asm
0040F6E0	func_0040f6e0	unidentified	FUN_0040f6e0	src/functions/f6/0040f6e0_func_0040f6e0.asm
0040F750	func_0040f750	unidentified	FUN_0040f750	src/functions/f7/0040f750_func_0040f750.asm
0040F7E0	func_0040f7e0	unidentified	FUN_0040f7e0	src/functions/f7/0040f7e0_func_0040f7e0.asm
0040F8A0	func_0040f8a0	unidentified	FUN_0040f8a0	src/functions/f8/0040f8a0_func_0040f8a0.asm
0040F9E0	func_0040f9e0	unidentified	FUN_0040f9e0	src/functions/f9/0040f9e0_func_0040f9e0.asm
0040FA60	func_0040fa60	unidentified	FUN_0040fa60	src/functions/fa/0040fa60_func_0040fa60.asm
0040FC70	func_0040fc70	unidentified	FUN_0040fc70	src/functions/fc/0040fc70_func_0040fc70.asm
0040FE40	func_0040fe40	unidentified	FUN_0040fe40	src/functions/fe/0040fe40_func_0040fe40.asm
0040FF20	func_0040ff20	unidentified	FUN_0040ff20	src/functions/ff/0040ff20_func_0040ff20.asm
00410010	func_00410010	unidentified	FUN_00410010	src/functions/00/00410010_func_00410010.asm
00410090	func_00410090	unidentified	FUN_00410090	src/functions/00/00410090_func_00410090.asm
00410C90	func_00410c90	unidentified	FUN_00410c90	src/functions/0c/00410c90_func_00410c90.asm
00410D90	func_00410d90	unidentified	FUN_00410d90	src/functions/0d/00410d90_func_00410d90.asm
00410E10	func_00410e10	unidentified	FUN_00410e10	src/functions/0e/00410e10_func_00410e10.asm
00410E20	func_00410e20	unidentified	FUN_00410e20	src/functions/0e/00410e20_func_00410e20.asm
00410E30	func_00410e30	unidentified	FUN_00410e30	src/functions/0e/00410e30_func_00410e30.asm
00410FA0	func_00410fa0	unidentified	FUN_00410fa0	src/functions/0f/00410fa0_func_00410fa0.asm
00411050	func_00411050	unidentified	FUN_00411050	src/functions/10/00411050_func_00411050.asm
004110F0	func_004110f0	unidentified	FUN_004110f0	src/functions/10/004110f0_func_004110f0.asm
004111F0	func_004111f0	unidentified	FUN_004111f0	src/functions/11/004111f0_func_004111f0.asm
00411260	func_00411260	unidentified	FUN_00411260	src/functions/12/00411260_func_00411260.asm
00411290	func_00411290	unidentified	FUN_00411290	src/functions/12/00411290_func_00411290.asm
00411310	func_00411310	unidentified	FUN_00411310	src/functions/13/00411310_func_00411310.asm
00411390	func_00411390	unidentified	FUN_00411390	src/functions/13/00411390_func_00411390.asm
00411600	func_00411600	unidentified	FUN_00411600	src/functions/16/00411600_func_00411600.asm
00411800	func_00411800	unidentified	FUN_00411800	src/functions/18/00411800_func_00411800.asm
00411870	func_00411870	unidentified	FUN_00411870	src/functions/18/00411870_func_00411870.asm
00411C50	func_00411c50	unidentified	FUN_00411c50	src/functions/1c/00411c50_func_00411c50.asm
00411CC0	func_00411cc0	unidentified	FUN_00411cc0	src/functions/1c/00411cc0_func_00411cc0.asm
00411D00	func_00411d00	unidentified	FUN_00411d00	src/functions/1d/00411d00_func_00411d00.asm
00411DF0	func_00411df0	unidentified	FUN_00411df0	src/functions/1d/00411df0_func_00411df0.asm
00411E90	func_00411e90	unidentified	FUN_00411e90	src/functions/1e/00411e90_func_00411e90.asm
004122A0	func_004122a0	unidentified	FUN_004122a0	src/functions/22/004122a0_func_004122a0.asm
00412400	func_00412400	unidentified	FUN_00412400	src/functions/24/00412400_func_00412400.asm
00412620	func_00412620	unidentified	FUN_00412620	src/functions/26/00412620_func_00412620.asm
00412670	func_00412670	unidentified	FUN_00412670	src/functions/26/00412670_func_00412670.asm
004126D0	func_004126d0	unidentified	FUN_004126d0	src/functions/26/004126d0_func_004126d0.asm
00412710	func_00412710	unidentified	FUN_00412710	src/functions/27/00412710_func_00412710.asm
00412720	func_00412720	unidentified	FUN_00412720	src/functions/27/00412720_func_00412720.asm
004127B0	func_004127b0	unidentified	FUN_004127b0	src/functions/27/004127b0_func_004127b0.asm
004127D0	func_004127d0	unidentified	FUN_004127d0	src/functions/27/004127d0_func_004127d0.asm
00412910	func_00412910	unidentified	FUN_00412910	src/functions/29/00412910_func_00412910.asm
