linear_entry	working_name	status	ghidra_entry	ghidra_name	source
07544	func_07544	unidentified	1702:0524	FUN_1702_0524	src/functions/75/07544_func_07544.asm
07590	func_07590	unidentified	1702:0570	FUN_1702_0570	src/functions/75/07590_func_07590.asm
075C0	func_075c0	unidentified	1702:05a0	FUN_1702_05a0	src/functions/75/075c0_func_075c0.asm
075E9	func_075e9	unidentified	1702:05c9	FUN_1702_05c9	src/functions/75/075e9_func_075e9.asm
07613	func_07613	unidentified	1702:05f3	FUN_1702_05f3	src/functions/76/07613_func_07613.asm
0765E	func_0765e	unidentified	1702:063e	FUN_1702_063e	src/functions/76/0765e_func_0765e.asm
076F3	func_076f3	unidentified	1702:06d3	FUN_1702_06d3	src/functions/76/076f3_func_076f3.asm
0773E	func_0773e	unidentified	1702:071e	FUN_1702_071e	src/functions/77/0773e_func_0773e.asm
077A3	func_077a3	unidentified	1702:0783	FUN_1702_0783	src/functions/77/077a3_func_077a3.asm
0786E	func_0786e	unidentified	1702:084e	FUN_1702_084e	src/functions/78/0786e_func_0786e.asm
078B7	func_078b7	unidentified	1702:0897	FUN_1702_0897	src/functions/78/078b7_func_078b7.asm
078D5	func_078d5	unidentified	1702:08b5	FUN_1702_08b5	src/functions/78/078d5_func_078d5.asm
0791B	func_0791b	unidentified	1702:08fb	FUN_1702_08fb	src/functions/79/0791b_func_0791b.asm
07961	func_07961	unidentified	1702:0941	FUN_1702_0941	src/functions/79/07961_func_07961.asm
079B6	func_079b6	unidentified	1702:0996	FUN_1702_0996	src/functions/79/079b6_func_079b6.asm
079F7	func_079f7	unidentified	1702:09d7	FUN_1702_09d7	src/functions/79/079f7_func_079f7.asm
07A33	func_07a33	unidentified	1702:0a13	FUN_1702_0a13	src/functions/7a/07a33_func_07a33.asm
07A47	func_07a47	unidentified	1702:0a27	FUN_1702_0a27	src/functions/7a/07a47_func_07a47.asm
07B71	func_07b71	unidentified	1702:0b51	FUN_1702_0b51	src/functions/7b/07b71_func_07b71.asm
07B97	func_07b97	unidentified	1702:0b77	FUN_1702_0b77	src/functions/7b/07b97_func_07b97.asm
07B9D	func_07b9d	unidentified	1702:0b7d	FUN_1702_0b7d	src/functions/7b/07b9d_func_07b9d.asm
07C4F	func_07c4f	unidentified	1702:0c2f	FUN_1702_0c2f	src/functions/7c/07c4f_func_07c4f.asm
07C88	func_07c88	unidentified	1702:0c68	FUN_1702_0c68	src/functions/7c/07c88_func_07c88.asm
07C8E	func_07c8e	unidentified	1702:0c6e	FUN_1702_0c6e	src/functions/7c/07c8e_func_07c8e.asm
07C94	func_07c94	unidentified	1702:0c74	FUN_1702_0c74	src/functions/7c/07c94_func_07c94.asm
07CAC	func_07cac	unidentified	1702:0c8c	FUN_1702_0c8c	src/functions/7c/07cac_func_07cac.asm
07CB2	func_07cb2	unidentified	1702:0c92	FUN_1702_0c92	src/functions/7c/07cb2_func_07cb2.asm
07CC4	func_07cc4	unidentified	1702:0ca4	FUN_1702_0ca4	src/functions/7c/07cc4_func_07cc4.asm
07CE2	func_07ce2	unidentified	1702:0cc2	FUN_1702_0cc2	src/functions/7c/07ce2_func_07ce2.asm
07CE8	func_07ce8	unidentified	1702:0cc8	FUN_1702_0cc8	src/functions/7c/07ce8_func_07ce8.asm
07CEE	func_07cee	unidentified	1702:0cce	FUN_1702_0cce	src/functions/7c/07cee_func_07cee.asm
07CF4	func_07cf4	unidentified	1702:0cd4	FUN_1702_0cd4	src/functions/7c/07cf4_func_07cf4.asm
07CFA	func_07cfa	unidentified	1702:0cda	FUN_1702_0cda	src/functions/7c/07cfa_func_07cfa.asm
07D00	func_07d00	unidentified	1702:0ce0	FUN_1702_0ce0	src/functions/7d/07d00_func_07d00.asm
07D18	func_07d18	unidentified	1702:0cf8	FUN_1702_0cf8	src/functions/7d/07d18_func_07d18.asm
07D1E	func_07d1e	unidentified	1702:0cfe	FUN_1702_0cfe	src/functions/7d/07d1e_func_07d1e.asm
07D2A	func_07d2a	unidentified	1702:0d0a	FUN_1702_0d0a	src/functions/7d/07d2a_func_07d2a.asm
07D3C	func_07d3c	unidentified	1702:0d1c	FUN_1702_0d1c	src/functions/7d/07d3c_func_07d3c.asm
07D4E	func_07d4e	unidentified	1702:0d2e	FUN_1702_0d2e	src/functions/7d/07d4e_func_07d4e.asm
07EA0	func_07ea0	unidentified	1702:0e80	FUN_1702_0e80	src/functions/7e/07ea0_func_07ea0.asm
07ED7	func_07ed7	unidentified	1702:0eb7	FUN_1702_0eb7	src/functions/7e/07ed7_func_07ed7.asm
07F0E	func_07f0e	unidentified	1702:0eee	FUN_1702_0eee	src/functions/7f/07f0e_func_07f0e.asm
07F55	func_07f55	unidentified	1702:0f35	FUN_1702_0f35	src/functions/7f/07f55_func_07f55.asm
07F64	func_07f64	unidentified	1702:0f44	FUN_1702_0f44	src/functions/7f/07f64_func_07f64.asm
07F7B	func_07f7b	unidentified	1702:0f5b	FUN_1702_0f5b	src/functions/7f/07f7b_func_07f7b.asm
07FB6	func_07fb6	unidentified	1702:0f96	FUN_1702_0f96	src/functions/7f/07fb6_func_07fb6.asm
08069	func_08069	unidentified	1702:1049	FUN_1702_1049	src/functions/80/08069_func_08069.asm
080D6	func_080d6	unidentified	1702:10b6	FUN_1702_10b6	src/functions/80/080d6_func_080d6.asm
0812B	func_0812b	unidentified	1702:110b	FUN_1702_110b	src/functions/81/0812b_func_0812b.asm
08152	func_08152	unidentified	1702:1132	FUN_1702_1132	src/functions/81/08152_func_08152.asm
082A9	func_082a9	unidentified	1702:1289	FUN_1702_1289	src/functions/82/082a9_func_082a9.asm
082FC	func_082fc	unidentified	1702:12dc	FUN_1702_12dc	src/functions/82/082fc_func_082fc.asm
08327	func_08327	unidentified	1702:1307	FUN_1702_1307	src/functions/83/08327_func_08327.asm
083FE	func_083fe	unidentified	1702:13de	FUN_1702_13de	src/functions/83/083fe_func_083fe.asm
0847E	func_0847e	unidentified	1000:847e	FUN_1000_847e	src/functions/84/0847e_func_0847e.asm
0848C	func_0848c	unidentified	1000:848c	FUN_1000_848c	src/functions/84/0848c_func_0848c.asm
084F1	func_084f1	unidentified	1000:84f1	FUN_1000_84f1	src/functions/84/084f1_func_084f1.asm
08524	func_08524	unidentified	1000:8524	FUN_1000_8524	src/functions/85/08524_func_08524.asm
0864A	func_0864a	unidentified	1000:864a	FUN_1000_864a	src/functions/86/0864a_func_0864a.asm
086AB	func_086ab	unidentified	1000:86ab	FUN_1000_86ab	src/functions/86/086ab_func_086ab.asm
086C0	func_086c0	unidentified	1000:86c0	FUN_1000_86c0	src/functions/86/086c0_func_086c0.asm
08766	func_08766	unidentified	1000:8766	FUN_1000_8766	src/functions/87/08766_func_08766.asm
08854	func_08854	unidentified	1000:8854	FUN_1000_8854	src/functions/88/08854_func_08854.asm
08891	func_08891	unidentified	1000:8891	FUN_1000_8891	src/functions/88/08891_func_08891.asm
088D9	func_088d9	unidentified	1702:18b9	FUN_1702_18b9	src/functions/88/088d9_func_088d9.asm
0891D	func_0891d	unidentified	1000:891d	FUN_1000_891d	src/functions/89/0891d_func_0891d.asm
